Designator,Mid X,Mid Y,Rotation,Layer
R1402,25.099999,9.7,0.0,bottom
R1403,27.1,9.7,180.0,bottom
R1501,32.900001,1.55,90.0,bottom
R1502,34.000001,6.149999,90.0,bottom
R1503,34.000001,4.15,270.0,bottom
R1601,39.500001,10.35,0.0,bottom
R1602,34.9,11.45,0.0,bottom
R1603,36.9,11.45,180.0,bottom
R1701,1.050001,7.5,90.0,bottom
R1702,2.150001,12.100001,90.0,bottom
R1703,2.150001,10.100001,270.0,bottom
R1801,40.499999,1.583753,90.0,bottom
R1802,41.6,6.183753,90.0,bottom
R1803,41.600001,4.183752,270.0,bottom
R1901,43.607501,11.099999,90.0,bottom
R1902,44.707501,15.7,90.0,bottom
R1903,44.707501,13.7,270.0,bottom
R2001,47.800001,4.596249,90.0,bottom
R2002,48.900001,9.19625,90.0,bottom
R2003,48.900001,7.19625,270.0,bottom
R2101,55.4,1.509998,90.0,bottom
R2102,56.5,6.109999,90.0,bottom
R2103,56.5,4.109999,270.0,bottom
R2201,0.9,22.575002,90.0,bottom
R2202,2.0,27.175003,90.0,bottom
R2203,2.0,25.175003,270.0,bottom
R2301,58.6,36.4,180.0,bottom
R2302,63.199999,35.4,180.0,bottom
R2303,61.2,35.4,0.0,bottom
R2401,52.1,31.099999,180.0,bottom
R2402,56.700002,29.999999,180.0,bottom
R2403,54.7,29.999999,0.0,bottom
R2501,53.399999,23.392497,180.0,bottom
R2502,58.0,22.292497,180.0,bottom
R2503,56.000001,22.292497,0.0,bottom
R2601,40.9925,17.3,0.0,top
R2602,45.592502,18.400001,0.0,top
R2603,43.592502,18.400001,180.0,top
R2701,49.949999,13.300001,0.0,top
R2702,54.55,14.400001,0.0,top
R2703,52.550001,14.400001,180.0,top
R2801,69.15,23.450001,270.0,bottom
R2802,68.049999,18.85,270.0,bottom
R2803,68.049999,20.849999,90.0,bottom
R2901,56.349999,16.042497,180.0,bottom
R2902,60.95,14.942497,180.0,bottom
R2903,58.950001,14.942497,0.0,bottom
R3002,62.4,36.7,180.0,top
R401,38.5,29.2,90.0,top
R402,39.4,31.6,0.0,top
R403,51.0,35.5,0.0,top
R404,51.0,34.2,0.0,top
R501,22.100001,19.99,0.0,top
R502,22.1,21.1,0.0,top
R503,24.1,21.1,0.0,top
R504,21.850001,16.0,270.0,top
R505,19.875001,17.294702,270.0,top
R506,23.9,14.1,180.0,top
R507,25.100001,17.999999,270.0,top
R508,18.750002,19.804702,90.0,top
R509,27.965155,21.484482,180.0,top
R601,11.75,29.75,0.0,top
R602,30.0,30.870001,90.0,top
R603,28.75,30.870001,90.0,top
R604,18.5,29.25,270.0,top
R605,22.5,30.25,180.0,top
R606,20.5,30.25,180.0,top
R607,19.025,27.25,0.0,top
R608,19.5,28.75,90.0,top
R701,17.150001,21.0947,0.0,top
R801,50.0,24.1,0.0,top
R802,48.0,31.9,315.0,bottom
R803,46.65,30.55,135.0,bottom
R804,54.809999,23.3,180.0,top
R805,52.890001,23.3,0.0,top
R806,57.7,25.1,180.0,top
R807,57.7,23.9,180.0,top
R901,29.75,23.25,90.0,top
SW401,35.575,27.0,270.0,top
SW402,35.55,33.299999,90.0,top
SW403,59.970711,30.845584,135.0,top
SW404,35.5,15.0,180.0,top
SW405,35.5,10.7,180.0,top
SW406,35.5,6.4,180.0,top
SW407,35.5,2.1,180.0,top
U1001,24.730002,25.45,90.0,top
U401,44.45,34.3,0.0,top
U501,23.6,18.274999,90.0,top
U502,17.100001,17.5447,0.0,top
U601,15.775,32.1,0.0,top
U701,11.18,24.675,180.0,top
U702,11.0,21.25,90.0,top
U801,53.875,26.475,90.0,top
